Clock Issue: TimeControl/tseg_reg_i/tseg1mpl_iC_reg[4], TimeControl/tseg_reg_i/clockC_IBUF_BUFG
Clock Issue: TimeControl/tseg_reg_i/tseg1mpl_iC_reg[3], TimeControl/tseg_reg_i/clockC_IBUF_BUFG
Clock Issue: TimeControl/tseg_reg_i/tseg1mpl_iC_reg[2], TimeControl/tseg_reg_i/clockC_IBUF_BUFG
Clock Issue: TimeControl/tseg_reg_i/tseg1mpl_iC_reg[1], TimeControl/tseg_reg_i/clockC_IBUF_BUFG
Clock Issue: TimeControl/tseg_reg_i/tseg1mpl_iC_reg[0], TimeControl/tseg_reg_i/clockC_IBUF_BUFG
Clock Issue: TimeControl/tseg_reg_i/tseg1mpl_iA_reg[4], TimeControl/tseg_reg_i/clockA_IBUF_BUFG
Clock Issue: TimeControl/tseg_reg_i/tseg1mpl_iA_reg[3], TimeControl/tseg_reg_i/clockA_IBUF_BUFG
Clock Issue: TimeControl/tseg_reg_i/tseg1mpl_iA_reg[2], TimeControl/tseg_reg_i/clockA_IBUF_BUFG
Clock Issue: TimeControl/tseg_reg_i/tseg1mpl_iA_reg[1], TimeControl/tseg_reg_i/clockA_IBUF_BUFG
Clock Issue: TimeControl/tseg_reg_i/tseg1mpl_iA_reg[0], TimeControl/tseg_reg_i/clockA_IBUF_BUFG
Clock Issue: TimeControl/smpldbit_reg_i/smpldbit_iC_reg, TimeControl/smpldbit_reg_i/clockC_IBUF_BUFG
Clock Issue: TimeControl/smpldbit_reg_i/smpldbit_iA_reg, TimeControl/smpldbit_reg_i/clockA_IBUF_BUFG
Clock Issue: TimeControl/rxfC_reg, TimeControl/clockC_IBUF_BUFG
Clock Issue: TimeControl/rxfA_reg, TimeControl/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/rdy_cnt0/counterC_reg[9], TimeControl/freqTrim/rdy_cnt0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/rdy_cnt0/counterC_reg[8], TimeControl/freqTrim/rdy_cnt0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/rdy_cnt0/counterC_reg[7], TimeControl/freqTrim/rdy_cnt0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/rdy_cnt0/counterC_reg[6], TimeControl/freqTrim/rdy_cnt0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/rdy_cnt0/counterC_reg[5], TimeControl/freqTrim/rdy_cnt0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/rdy_cnt0/counterC_reg[4], TimeControl/freqTrim/rdy_cnt0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/rdy_cnt0/counterC_reg[3], TimeControl/freqTrim/rdy_cnt0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/rdy_cnt0/counterC_reg[2], TimeControl/freqTrim/rdy_cnt0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/rdy_cnt0/counterC_reg[1], TimeControl/freqTrim/rdy_cnt0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/rdy_cnt0/counterC_reg[0], TimeControl/freqTrim/rdy_cnt0/clockC_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/rdy_cnt0/counterA_reg[9], TimeControl/freqTrim/rdy_cnt0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/rdy_cnt0/counterA_reg[8], TimeControl/freqTrim/rdy_cnt0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/rdy_cnt0/counterA_reg[7], TimeControl/freqTrim/rdy_cnt0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/rdy_cnt0/counterA_reg[6], TimeControl/freqTrim/rdy_cnt0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/rdy_cnt0/counterA_reg[5], TimeControl/freqTrim/rdy_cnt0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/rdy_cnt0/counterA_reg[4], TimeControl/freqTrim/rdy_cnt0/clockA_IBUF_BUFG
Clock Issue: TimeControl/freqTrim/rdy_cnt0/counterA_reg[3], TimeControl/freqTrim/rdy_cnt0/clockA_IBUF_BUFG
